date,volume,open,open_difference_daily,open_difference_daily_percentage,open_difference_weekly,open_difference_weekly_percentage,close,close_difference_daily,close_difference_daily_percentage,close_difference_weekly,close_difference_weekly_percentage,low,low_difference_daily,low_difference_daily_percentage,low_difference_weekly,low_difference_weekly_percentage,high,high_difference_daily,high_difference_daily_percentage,high_difference_weekly,high_difference_weekly_percentage
2017/06/12,9437061.0000,967.0000,-45.5,-4.4938,-40.23,-3.9941,964.9100,-13.4,-1.3697,-46.43,-4.5909,945.0000,18.0,1.9417,-58.51,-5.8305,975.9500,-37.04,-3.6565,-37.26,-3.6774
2017/06/13,4569183.0000,977.9900,10.99,1.1365,-34.01,-3.3607,980.7900,15.88,1.6457,-22.21,-2.2144,966.1000,21.1,2.2328,-35.15,-3.5106,984.5000,8.55,0.8761,-32.0,-3.1481
2017/06/14,3965444.0000,988.5900,10.6,1.0839,-17.36,-1.7257,976.4700,-4.32,-0.4405,-33.6,-3.3265,966.7100,0.61,0.0631,-35.29,-3.522,990.3400,5.84,0.5932,-19.909,-1.9707
2017/06/15,5230302.0000,958.7000,-29.89,-3.0235,-53.36,-5.2724,964.1700,-12.3,-1.2596,-46.1,-4.5631,950.8600,-15.85,-1.6396,-55.25,-5.4914,965.7300,-24.61,-2.485,-47.88,-4.7237
2017/06/16,11439080.0000,996.0000,37.3,3.8907,-16.5,-1.6296,987.7100,23.54,2.4415,9.4,0.9608,982.0000,31.14,3.2749,55.0,5.9331,999.7500,34.02,3.5227,-13.24,-1.307
2017/06/19,5019791.0000,1017.0000,21.0,2.1084,50.0,5.1706,995.1700,7.46,0.7553,30.26,3.136,989.9000,7.9,0.8045,44.9,4.7513,1017.0000,17.25,1.7254,41.05,4.2062
2017/06/20,4069195.0000,998.0000,-19.0,-1.8682,20.01,2.046,992.5900,-2.58,-0.2593,11.8,1.2031,992.0200,2.12,0.2142,25.92,2.683,1004.8800,-12.12,-1.1917,20.38,2.0701
2017/06/21,2916743.0000,998.7000,0.7,0.0701,10.11,1.0227,1002.2300,9.64,0.9712,25.76,2.6381,992.6518,0.6318,0.0637,25.9418,2.6835,1002.7200,-2.16,-0.215,12.38,1.2501
2017/06/22,2249784.0000,1002.2300,3.53,0.3535,43.53,4.5405,1001.3000,-0.93,-0.0928,37.13,3.851,997.2000,4.5482,0.4582,46.34,4.8735,1006.9599,4.2399,0.4228,41.2299,4.2693
2017/06/23,2876508.0000,1002.5400,0.31,0.0309,6.54,0.6566,1003.7400,2.44,0.2437,16.03,1.6229,998.0200,0.82,0.0822,16.02,1.6314,1004.6200,-2.3399,-0.2324,4.87,0.4871
2017/06/26,3382126.0000,1008.5000,5.96,0.5945,-8.5,-0.8358,993.9800,-9.76,-0.9724,-1.19,-0.1196,992.0000,-6.02,-0.6032,2.1,0.2121,1009.8000,5.18,0.5156,-7.2,-0.708
2017/06/27,3759865.0000,990.6900,-17.81,-1.766,-7.31,-0.7325,976.7800,-17.2,-1.7304,-15.81,-1.5928,976.0000,-16.0,-1.6129,-16.02,-1.6149,998.8000,-11.0,-1.0893,-6.08,-0.605
2017/06/28,3721937.0000,978.5500,-12.14,-1.2254,-20.15,-2.0176,990.3300,13.55,1.3872,-11.9,-1.1874,969.2100,-6.79,-0.6957,-23.4418,-2.3615,990.6800,-8.12,-0.813,-12.04,-1.2007
2017/06/29,4295828.0000,979.0000,0.45,0.046,-23.23,-2.3178,975.9300,-14.4,-1.4541,-25.37,-2.5337,965.2500,-3.96,-0.4086,-31.95,-3.204,987.5600,-3.12,-0.3149,-19.3999,-1.9266
2017/06/30,3383436.0000,980.1200,1.12,0.1144,-22.42,-2.2363,968.0000,-7.93,-0.8126,-35.74,-3.5607,967.6100,2.36,0.2445,-30.41,-3.047,983.4700,-4.09,-0.4142,-21.15,-2.1053
2017/07/03,2909108.0000,972.7900,-7.33,-0.7479,-35.71,-3.5409,953.6600,-14.34,-1.4814,-40.32,-4.0564,951.0001,-16.6099,-1.7166,-40.9999,-4.1331,974.4900,-8.98,-0.9131,-35.31,-3.4967
2017/07/05,3648765.0000,961.5300,-11.26,-1.1575,-29.16,-2.9434,971.4000,17.74,1.8602,-5.38,-0.5508,955.2500,4.2499,0.4469,-20.75,-2.126,975.0000,0.51,0.0523,-23.8,-2.3829
2017/07/06,3257432.0000,964.6600,3.13,0.3255,-13.89,-1.4194,965.1400,-6.26,-0.6444,-25.19,-2.5436,959.0200,3.77,0.3947,-10.19,-1.0514,974.4000,-0.6,-0.0615,-16.28,-1.6433
2017/07/07,2589778.0000,969.5500,4.89,0.5069,-9.45,-0.9653,978.7600,13.62,1.4112,2.83,0.29,969.1400,10.12,1.0552,3.89,0.403,980.1100,5.71,0.586,-7.45,-0.7544
2017/07/10,3515968.0000,985.0000,15.45,1.5935,4.88,0.4979,996.4700,17.71,1.8094,28.47,2.9411,983.5000,14.36,1.4817,15.89,1.6422,999.4392,19.3292,1.9721,15.9692,1.6238
2017/07/11,2978422.0000,993.0000,8.0,0.8122,20.21,2.0775,994.1300,-2.34,-0.2348,40.47,4.2437,983.7200,0.22,0.0224,32.7199,3.4406,995.9900,-3.4492,-0.3451,21.5,2.2063
2017/07/12,3605227.0000,1000.6500,7.65,0.7704,39.12,4.0685,1006.5100,12.38,1.2453,35.11,3.6144,998.1000,14.38,1.4618,42.85,4.4857,1008.5500,12.56,1.2611,33.55,3.441
2017/07/13,2877854.0000,1004.6200,3.97,0.3967,39.96,4.1424,1000.6300,-5.88,-0.5842,35.49,3.6772,995.9000,-2.2,-0.2204,36.88,3.8456,1006.8800,-1.67,-0.1656,32.48,3.3333
2017/07/14,2100941.0000,1002.4000,-2.22,-0.221,32.85,3.3882,1001.8100,1.18,0.1179,23.05,2.355,996.8900,0.99,0.0994,27.75,2.8634,1004.4500,-2.43,-0.2413,24.34,2.4834
2017/07/17,3685206.0000,1004.6900,2.29,0.2285,19.69,1.999,1010.0400,8.23,0.8215,13.57,1.3618,1003.8100,6.92,0.6942,20.31,2.0651,1014.7500,10.3,1.0254,15.3108,1.5319
2017/07/18,4002293.0000,1006.0000,1.31,0.1304,13.0,1.3092,1024.4500,14.41,1.4267,30.32,3.0499,1004.0000,0.19,0.0189,20.28,2.0616,1026.0300,11.28,1.1116,30.04,3.0161
2017/07/19,2955263.0000,1025.0000,19.0,1.8887,24.35,2.4334,1026.8700,2.42,0.2362,20.36,2.0228,1022.5000,18.5,1.8426,24.4,2.4446,1031.5900,5.56,0.5419,23.04,2.2845
2017/07/20,3074300.0000,1031.5900,6.59,0.6429,26.97,2.6846,1028.7000,1.83,0.1782,28.07,2.8052,1022.5150,0.015,0.0015,26.615,2.6725,1034.9700,3.38,0.3276,28.09,2.7898
2017/07/21,2726844.0000,1021.2800,-10.31,-0.9994,18.88,1.8835,1025.6700,-3.03,-0.2945,23.86,2.3817,1011.0000,-11.515,-1.1261,14.11,1.4154,1026.1000,-8.87,-0.857,21.65,2.1554
2017/07/24,3277624.0000,1028.3400,7.06,0.6913,23.65,2.354,1038.9500,13.28,1.2948,28.91,2.8623,1027.4279,16.4279,1.6249,23.6179,2.3528,1043.0100,16.91,1.648,28.26,2.7849
2017/07/25,2444862.0000,1038.0500,9.71,0.9442,32.05,3.1859,1039.8700,0.92,0.0886,15.42,1.5052,1032.4800,5.0521,0.4917,28.48,2.8367,1043.3346,0.3246,0.0311,17.3046,1.6866
2017/07/26,2881423.0000,1043.2000,5.15,0.4961,18.2,1.7756,1052.8000,12.93,1.2434,25.93,2.5251,1043.2000,10.72,1.0383,20.7,2.0244,1053.2000,9.8654,0.9456,21.61,2.0948
2017/07/27,10830380.0000,1069.5500,26.35,2.5259,37.96,3.6798,1046.0000,-6.8,-0.6459,17.3,1.6817,1040.1800,-3.02,-0.2895,17.665,1.7276,1083.3100,30.11,2.8589,48.34,4.6707
2017/07/28,7674669.0000,1012.1400,-57.41,-5.3677,-9.14,-0.895,1020.0400,-25.96,-2.4818,-5.63,-0.5489,1001.0000,-39.18,-3.7667,-10.0,-0.9891,1032.8500,-50.46,-4.6579,6.75,0.6578
2017/07/31,7326177.0000,1019.0500,6.91,0.6827,-9.29,-0.9034,987.7800,-32.26,-3.1626,-51.17,-4.9252,987.0200,-13.98,-1.3966,-40.4079,-3.9329,1019.0500,-13.8,-1.3361,-23.96,-2.2972
2017/08/01,4527979.0000,996.1100,-22.94,-2.2511,-41.94,-4.0403,996.1900,8.41,0.8514,-43.68,-4.2005,991.5800,4.56,0.462,-40.9,-3.9613,1006.4000,-12.65,-1.2414,-36.9346,-3.5401
2017/08/02,4061270.0000,1001.7700,5.66,0.5682,-41.43,-3.9714,995.8900,-0.3,-0.0301,-56.91,-5.4056,981.7300,-9.85,-0.9934,-61.47,-5.8924,1003.2100,-3.19,-0.317,-49.99,-4.7465
2017/08/03,3252699.0000,999.4700,-2.3,-0.2296,-70.08,-6.5523,986.9200,-8.97,-0.9007,-59.08,-5.6482,984.5900,2.86,0.2913,-55.59,-5.3443,999.5000,-3.71,-0.3698,-83.81,-7.7365
2017/08/04,2726739.0000,989.6800,-9.79,-0.9795,-22.46,-2.2191,987.5800,0.66,0.0669,-32.46,-3.1822,982.0000,-2.59,-0.2631,-19.0,-1.8981,991.6720,-7.828,-0.7832,-41.178,-3.9868
2017/08/07,2670187.0000,990.6500,0.97,0.098,-28.4,-2.7869,992.2700,4.69,0.4749,4.49,0.4546,987.1400,5.14,0.5234,0.12,0.0122,995.0000,3.328,0.3356,-24.05,-2.36
2017/08/08,2886062.0000,994.3500,3.7,0.3735,-1.76,-0.1767,989.8400,-2.43,-0.2449,-6.35,-0.6374,985.7900,-1.35,-0.1368,-5.79,-0.5839,996.2800,1.28,0.1286,-10.12,-1.0056
2017/08/09,3568120.0000,982.6000,-11.75,-1.1817,-19.17,-1.9136,982.0100,-7.83,-0.791,-13.88,-1.3937,975.2700,-10.52,-1.0672,-6.46,-0.658,988.0000,-8.28,-0.8311,-15.21,-1.5161
