date,volume,open,open_difference_daily,open_difference_daily_percentage,open_difference_weekly,open_difference_weekly_percentage,close,close_difference_daily,close_difference_daily_percentage,close_difference_weekly,close_difference_weekly_percentage,low,low_difference_daily,low_difference_daily_percentage,low_difference_weekly,low_difference_weekly_percentage,high,high_difference_daily,high_difference_daily_percentage,high_difference_weekly,high_difference_weekly_percentage
2020/03/13,113201250.0000,119.0000,2.822,2.429,-19.0008,-13.7686,109.3240,-2.786,-2.4851,-31.372,-22.2977,100.4000,-8.85,-8.1007,-36.454,-26.6371,121.5140,2.614,2.1985,-19.886,-14.0636
2020/03/16,102447300.0000,93.8999,-25.1001,-21.0925,-27.1781,-22.4468,89.0140,-20.31,-18.5778,-32.586,-26.7977,88.4340,-11.966,-11.9183,-32.566,-26.914,98.9740,-22.54,-18.5493,-33.6256,-25.3587
2020/03/17,119972900.0000,88.0020,-5.8979,-6.2811,-43.884,-33.2742,86.0400,-2.974,-3.341,-43.026,-33.3364,79.2000,-9.234,-10.4417,-42.4,-34.8684,94.3700,-4.604,-4.6517,-39.23,-29.3638
2020/03/18,118930800.0000,77.8000,-10.202,-11.5929,-50.24,-39.2377,72.2440,-13.796,-16.0344,-54.602,-43.0459,70.1020,-9.098,-11.4874,-52.498,-42.8206,80.9720,-13.398,-14.1973,-49.744,-38.055
2020/03/19,150977300.0000,74.9394,-2.8606,-3.6769,-41.2386,-35.496,85.5280,13.284,18.3877,-26.582,-23.7106,71.6920,1.59,2.2681,-37.558,-34.378,90.4000,9.428,11.6435,-28.5,-23.9697
2020/03/20,141427500.0000,87.6400,12.7006,16.9478,-31.36,-26.3529,85.5060,-0.022,-0.0257,-23.818,-21.7866,85.1580,13.466,18.7831,-15.242,-15.1813,95.4000,5.0,5.531,-26.114,-21.4905
2020/03/23,82272750.0000,86.7200,-0.92,-1.0497,-7.1799,-7.6463,86.8580,1.352,1.5812,-2.156,-2.4221,82.1000,-3.058,-3.591,-6.334,-7.1624,88.4000,-7.0,-7.3375,-10.574,-10.6836
2020/03/24,114475850.0000,95.4600,8.74,10.0784,7.458,8.4748,101.0000,14.142,16.2817,14.96,17.3873,94.8000,12.7,15.4689,15.6,19.697,102.7380,14.338,16.2195,8.368,8.8672
2020/03/25,106113750.0000,109.0500,13.59,14.2363,31.25,40.1671,107.8500,6.85,6.7822,35.606,49.2858,102.2220,7.422,7.8291,32.12,45.8189,111.4000,8.662,8.4312,30.428,37.5784
2020/03/26,87110400.0000,109.4780,0.428,0.3925,34.5386,46.0887,105.6320,-2.218,-2.0566,20.104,23.5058,102.4500,0.228,0.223,30.758,42.903,112.0000,0.6,0.5386,21.6,23.8938
